          time,        P_elec,   delta_r_gen
  0.000000e+00, 120000000.000000,      0.293347
  1.000000e-03, 119990642.493423,      0.293347
  2.000000e-03, 119990643.223286,      0.293347
  3.000000e-03, 119990644.682864,      0.293347
  4.000000e-03, 119990646.871952,      0.293347
  5.000000e-03, 119990649.790288,      0.293347
  6.000000e-03, 119990653.437553,      0.293347
  7.000000e-03, 119990657.813372,      0.293347
  8.000000e-03, 119990662.917312,      0.293347
  9.000000e-03, 119990668.748884,      0.293347
  1.000000e-02, 119990675.307542,      0.293348
  1.100000e-02, 119990682.592684,      0.293348
  1.200000e-02, 119990690.603652,      0.293348
  1.300000e-02, 119990699.339728,      0.293348
  1.400000e-02, 119990708.800142,      0.293348
  1.500000e-02, 119990718.984064,      0.293348
  1.600000e-02, 119990729.890611,      0.293348
  1.700000e-02, 119990741.518841,      0.293348
  1.800000e-02, 119990753.867756,      0.293348
  1.900000e-02, 119990766.936305,      0.293348
  2.000000e-02, 119990780.723376,      0.293348
  2.100000e-02, 119990795.227805,      0.293348
  2.200000e-02, 119990810.448372,      0.293348
  2.300000e-02, 119990826.383799,      0.293348
  2.400000e-02, 119990843.032754,      0.293348
  2.500000e-02, 119990860.393850,      0.293348
  2.600000e-02, 119990878.465643,      0.293348
  2.700000e-02, 119990897.246634,      0.293348
  2.800000e-02, 119990916.735271,      0.293348
  2.900000e-02, 119990936.929945,      0.293348
  3.000000e-02, 119990957.828992,      0.293348
  3.100000e-02, 119990979.430693,      0.293348
  3.200000e-02, 119991001.733278,      0.293348
  3.300000e-02, 119991024.734917,      0.293348
  3.400000e-02, 119991048.433731,      0.293348
  3.500000e-02, 119991072.827782,      0.293349
  3.600000e-02, 119991097.915082,      0.293349
  3.700000e-02, 119991123.693587,      0.293349
  3.800000e-02, 119991150.161201,      0.293349
  3.900000e-02, 119991177.315771,      0.293349
  4.000000e-02, 119991205.155095,      0.293349
  4.100000e-02, 119991233.676916,      0.293349
  4.200000e-02, 119991262.878923,      0.293349
  4.300000e-02, 119991292.758754,      0.293349
  4.400000e-02, 119991323.313993,      0.293349
  4.500000e-02, 119991354.542174,      0.293349
