          time,         v2.im,         v2.re
  4.000000e+00,     -0.050837,  20024.973686
  4.000050e+00,     -0.050834,  20024.973679
  4.000100e+00,     -0.050831,  20024.973673
  4.000150e+00,     -0.050828,  20024.973666
  4.000200e+00,     -0.050825,  20024.973660
  4.000250e+00,     -0.050822,  20024.973654
  4.000300e+00,     -0.050819,  20024.973647
  4.000350e+00,     -0.050816,  20024.973641
  4.000400e+00,     -0.050812,  20024.973634
  4.000450e+00,     -0.050809,  20024.973628
  4.000500e+00,     -0.050806,  20024.973622
  4.000550e+00,     -0.050803,  20024.973615
  4.000600e+00,     -0.050800,  20024.973609
  4.000650e+00,     -0.050797,  20024.973602
  4.000700e+00,     -0.050794,  20024.973596
  4.000750e+00,     -0.050791,  20024.973590
  4.000800e+00,     -0.050787,  20024.973583
  4.000850e+00,     -0.050784,  20024.973577
  4.000900e+00,     -0.050781,  20024.973570
  4.000950e+00,     -0.050778,  20024.973564
  4.001000e+00,     -0.050775,  20024.973558
  4.001050e+00,     -0.050772,  20024.973551
  4.001100e+00,     -0.050769,  20024.973545
  4.001150e+00,     -0.050766,  20024.973538
  4.001200e+00,     -0.050763,  20024.973532
  4.001250e+00,     -0.050760,  20024.973526
  4.001300e+00,     -0.050756,  20024.973519
  4.001350e+00,     -0.050753,  20024.973513
  4.001400e+00,     -0.050750,  20024.973506
  4.001450e+00,     -0.050747,  20024.973500
  4.001500e+00,     -0.050744,  20024.973494
  4.001550e+00,     -0.050741,  20024.973487
  4.001600e+00,     -0.050738,  20024.973481
  4.001650e+00,     -0.050735,  20024.973474
  4.001700e+00,     -0.050732,  20024.973468
  4.001750e+00,     -0.050729,  20024.973462
  4.001800e+00,     -0.050726,  20024.973455
  4.001850e+00,     -0.050722,  20024.973449
  4.001900e+00,     -0.050719,  20024.973443
  4.001950e+00,     -0.050716,  20024.973436
  4.002000e+00,     -0.050713,  20024.973430
  4.002050e+00,     -0.050710,  20024.973423
  4.002100e+00,     -0.050707,  20024.973417
  4.002150e+00,     -0.050704,  20024.973411
  4.002200e+00,     -0.050701,  20024.973404
  4.002250e+00,     -0.050698,  20024.973398
  4.002300e+00,     -0.050695,  20024.973392
  4.002350e+00,     -0.050692,  20024.973385
  4.002400e+00,     -0.050689,  20024.973379
  4.002450e+00,     -0.050686,  20024.973372
  4.002500e+00,     -0.050683,  20024.973366
  4.002550e+00,     -0.050679,  20024.973360
  4.002600e+00,     -0.050676,  20024.973353
  4.002650e+00,     -0.050673,  20024.973347
  4.002700e+00,     -0.050670,  20024.973341
  4.002750e+00,     -0.050667,  20024.973334
  4.002800e+00,     -0.050664,  20024.973328
  4.002850e+00,     -0.050661,  20024.973322
  4.002900e+00,     -0.050658,  20024.973315
  4.002950e+00,     -0.050655,  20024.973309
  4.003000e+00,     -0.050652,  20024.973302
  4.003050e+00,     -0.050649,  20024.973296
  4.003100e+00,     -0.050646,  20024.973290
  4.003150e+00,     -0.050643,  20024.973283
  4.003200e+00,     -0.050640,  20024.973277
  4.003250e+00,     -0.050637,  20024.973271
  4.003300e+00,     -0.050634,  20024.973264
  4.003350e+00,     -0.050631,  20024.973258
  4.003400e+00,     -0.050628,  20024.973252
  4.003450e+00,     -0.050624,  20024.973245
  4.003500e+00,     -0.050621,  20024.973239
  4.003550e+00,     -0.050618,  20024.973233
  4.003600e+00,     -0.050615,  20024.973226
  4.003650e+00,     -0.050612,  20024.973220
  4.003700e+00,     -0.050609,  20024.973214
  4.003750e+00,     -0.050606,  20024.973207
  4.003800e+00,     -0.050603,  20024.973201
  4.003850e+00,     -0.050600,  20024.973195
  4.003900e+00,     -0.050597,  20024.973188
  4.003950e+00,     -0.050594,  20024.973182
  4.004000e+00,     -0.050591,  20024.973176
  4.004050e+00,     -0.050588,  20024.973169
  4.004100e+00,     -0.050585,  20024.973163
  4.004150e+00,     -0.050582,  20024.973157
  4.004200e+00,     -0.050579,  20024.973150
  4.004250e+00,     -0.050576,  20024.973144
  4.004300e+00,     -0.050573,  20024.973138
  4.004350e+00,     -0.050570,  20024.973131
  4.004400e+00,     -0.050567,  20024.973125
  4.004450e+00,     -0.050564,  20024.973119
  4.004500e+00,     -0.050561,  20024.973112
  4.004550e+00,     -0.050558,  20024.973106
  4.004600e+00,     -0.050555,  20024.973100
  4.004650e+00,     -0.050552,  20024.973093
  4.004700e+00,     -0.050549,  20024.973087
  4.004750e+00,     -0.050546,  20024.973081
  4.004800e+00,     -0.050543,  20024.973074
  4.004850e+00,     -0.050540,  20024.973068
  4.004900e+00,     -0.050537,  20024.973062
  4.004950e+00,     -0.050534,  20024.973055
  4.005000e+00,     -0.050531,  20024.973049
  4.005050e+00,     -0.050528,  20024.973043
  4.005100e+00,     -0.050525,  20024.973036
  4.005150e+00,     -0.050522,  20024.973030
  4.005200e+00,     -0.050519,  20024.973024
  4.005250e+00,     -0.050516,  20024.973018
  4.005300e+00,     -0.050513,  20024.973011
  4.005350e+00,     -0.050510,  20024.973005
  4.005400e+00,     -0.050507,  20024.972999
  4.005450e+00,     -0.050504,  20024.972992
  4.005500e+00,     -0.050501,  20024.972986
  4.005550e+00,     -0.050498,  20024.972980
  4.005600e+00,     -0.050495,  20024.972973
  4.005650e+00,     -0.050492,  20024.972967
  4.005700e+00,     -0.050489,  20024.972961
  4.005750e+00,     -0.050486,  20024.972955
  4.005800e+00,     -0.050483,  20024.972948
  4.005850e+00,     -0.050480,  20024.972942
  4.005900e+00,     -0.050477,  20024.972936
  4.005950e+00,     -0.050474,  20024.972929
  4.006000e+00,     -0.050471,  20024.972923
  4.006050e+00,     -0.050468,  20024.972917
  4.006100e+00,     -0.050465,  20024.972910
  4.006150e+00,     -0.050462,  20024.972904
  4.006200e+00,     -0.050459,  20024.972898
  4.006250e+00,     -0.050456,  20024.972892
  4.006300e+00,     -0.050453,  20024.972885
  4.006350e+00,     -0.050450,  20024.972879
  4.006400e+00,     -0.050447,  20024.972873
  4.006450e+00,     -0.050444,  20024.972866
  4.006500e+00,     -0.050441,  20024.972860
  4.006550e+00,     -0.050438,  20024.972854
  4.006600e+00,     -0.050435,  20024.972848
  4.006650e+00,     -0.050432,  20024.972841
  4.006700e+00,     -0.050429,  20024.972835
  4.006750e+00,     -0.050426,  20024.972829
  4.006800e+00,     -0.050424,  20024.972822
  4.006850e+00,     -0.050421,  20024.972816
  4.006900e+00,     -0.050418,  20024.972810
  4.006950e+00,     -0.050415,  20024.972804
  4.007000e+00,     -0.050412,  20024.972797
  4.007050e+00,     -0.050409,  20024.972791
  4.007100e+00,     -0.050406,  20024.972785
  4.007150e+00,     -0.050403,  20024.972779
  4.007200e+00,     -0.050400,  20024.972772
  4.007250e+00,     -0.050397,  20024.972766
  4.007300e+00,     -0.050394,  20024.972760
  4.007350e+00,     -0.050391,  20024.972753
  4.007400e+00,     -0.050388,  20024.972747
  4.007450e+00,     -0.050385,  20024.972741
  4.007500e+00,     -0.050382,  20024.972735
