time,v2_0
4.000000e+00,16349.555324
4.000050e+00,16347.559044
4.000100e+00,16341.529249
4.000150e+00,16331.467425
4.000200e+00,16317.376057
4.000250e+00,16299.258620
4.000300e+00,16277.119584
4.000350e+00,16250.964413
4.000400e+00,16220.799560
4.000450e+00,16186.632467
4.000500e+00,16148.471565
4.000550e+00,16106.326269
4.000600e+00,16060.206978
4.000650e+00,16010.125071
4.000700e+00,15956.092905
4.000750e+00,15898.123812
4.000800e+00,15836.232095
4.000850e+00,15770.433025
4.000900e+00,15700.742836
4.000950e+00,15627.178724
4.001000e+00,15549.758839
4.001050e+00,15468.502284
4.001100e+00,15383.429108
4.001150e+00,15294.560300
4.001200e+00,15201.917789
4.001250e+00,15105.524432
4.001300e+00,15005.404013
4.001350e+00,14901.581235
4.001400e+00,14794.081715
4.001450e+00,14682.931976
4.001500e+00,14568.159444
4.001550e+00,14449.792437
4.001600e+00,14327.860159
4.001650e+00,14202.392696
4.001700e+00,14073.421006
4.001750e+00,13940.976909
4.001800e+00,13805.093085
4.001850e+00,13665.803061
4.001900e+00,13523.141205
4.001950e+00,13377.142716
4.002000e+00,13227.843617
4.002050e+00,13075.280746
4.002100e+00,12919.491745
4.002150e+00,12760.515052
4.002200e+00,12598.389894
4.002250e+00,12433.156271
4.002300e+00,12264.854954
4.002350e+00,12093.527467
4.002400e+00,11919.216083
4.002450e+00,11741.963810
4.002500e+00,11561.814385
4.002550e+00,11378.812254
4.002600e+00,11193.002572
4.002650e+00,11004.431184
4.002700e+00,10813.144617
4.002750e+00,10619.190069
4.002800e+00,10422.615395
4.002850e+00,10223.469096
4.002900e+00,10021.800310
4.002950e+00,9817.658794
4.003000e+00,9611.094918
4.003050e+00,9402.159648
4.003100e+00,9190.904536
4.003150e+00,8977.381706
4.003200e+00,8761.643842
4.003250e+00,8543.744173
4.003300e+00,8323.736463
4.003350e+00,8101.674996
4.003400e+00,7877.614562
4.003450e+00,7651.610445
4.003500e+00,7423.718407
4.003550e+00,7193.994678
4.003600e+00,6962.495939
4.003650e+00,6729.279308
4.003700e+00,6494.402328
4.003750e+00,6257.922952
4.003800e+00,6019.899527
4.003850e+00,5780.390781
4.003900e+00,5539.455812
4.003950e+00,5297.154064
4.004000e+00,5053.545323
4.004050e+00,4808.689696
4.004100e+00,4562.647596
4.004150e+00,4315.479732
4.004200e+00,4067.247087
4.004250e+00,3818.010911
4.004300e+00,3567.832697
4.004350e+00,3316.774175
4.004400e+00,3064.897288
4.004450e+00,2812.264184
4.004500e+00,2558.937195
4.004550e+00,2304.978828
4.004600e+00,2050.451741
4.004650e+00,1795.418737
4.004700e+00,1539.942740
4.004750e+00,1284.086785
4.004800e+00,1027.914001
4.004850e+00,771.487595
4.004900e+00,514.870836
4.004950e+00,258.127040
4.005000e+00,1.319556
4.005050e+00,-255.488254
4.005100e+00,-512.233025
4.005150e+00,-768.851411
4.005200e+00,-1025.280094
4.005250e+00,-1281.455804
4.005300e+00,-1537.315334
4.005350e+00,-1792.795554
4.005400e+00,-2047.833429
4.005450e+00,-2302.366031
4.005500e+00,-2556.330559
4.005550e+00,-2809.664350
4.005600e+00,-3062.304898
4.005650e+00,-3314.189869
4.005700e+00,-3565.257112
4.005750e+00,-3815.444681
4.005800e+00,-4064.690847
4.005850e+00,-4312.934110
4.005900e+00,-4560.113222
4.005950e+00,-4806.167193
4.006000e+00,-5051.035315
4.006050e+00,-5294.657169
4.006100e+00,-5536.972645
4.006150e+00,-5777.921956
4.006200e+00,-6017.445651
4.006250e+00,-6255.484631
4.006300e+00,-6491.980164
4.006350e+00,-6726.873898
4.006400e+00,-6960.107876
4.006450e+00,-7191.624551
4.006500e+00,-7421.366801
4.006550e+00,-7649.277939
4.006600e+00,-7875.301732
4.006650e+00,-8099.382412
4.006700e+00,-8321.464691
