"time","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","piLine1.v[1]","piLine1.v[2]","piLine1.v[3]"
0,-11.14802009521292,12.78161552334931,-1.633595428136392,-2614.630045910955,-1725.725741219907,4340.355787130427,89814.62390204988,-44907.31195102489,-44907.3119510249,89508.28400145232,-45055.80281442147,-44452.48118703081,306.3399005975516,148.4908633965824,-454.8307639940904
0.0001,-11.40393921473861,12.60276437881945,-1.198825164080864,-2503.331281577415,-1851.003013405638,4354.334294982981,89770.3058068797,-42441.96922134005,-47328.33658553956,89475.05832558233,-42604.19065869036,-46870.86766689189,295.2474812973669,162.2214373503157,-457.4689186476753
0.0002,-11.64860401950621,12.41147582523524,-0.7628718057290615,-2389.562368985207,-1974.453387832204,4364.015756817194,89637.39525797848,-39934.74139211475,-49702.65386586361,89353.53153585132,-40110.53329231955,-49242.99824353166,283.8637221271638,175.7919002048002,-459.6556223319421
0.0003,-11.88177307560348,12.20793865223785,-0.3261655766343887,-2273.435158861889,-2095.955285415171,4369.390444277279,89416.02342201152,-37388.10279451524,-52027.92062749623,89143.82360707299,-37577.29167921935,-51566.53192785356,272.1998149385327,189.1888847041118,-461.3886996426663
0.0004,-12.10321625401217,11.99235371415599,0.1108625398561005,-2155.064129207946,-2215.388841862438,4370.452971070747,89106.40876625439,-34804.56665337787,-54301.84211287643,88846.14150820926,-35006.96582736164,-53839.17568084749,260.2672580451326,202.3991739837729,-462.6664320289419
0.0005,-12.31271500648058,11.76493376614824,0.5477812403324691,-2034.566306236694,-2332.636045594069,4367.202351830946,88708.85684299204,-32186.68260695987,-56522.17423603208,88460.77899472277,-32402.09232353518,-56058.68667118748,248.0778482692695,215.4097165753083,-463.4875648445959
0.0006,-12.51006259045916,11.52590324372406,0.984159346734902,-1912.060788328704,-2447.581161471368,4359.641949798,88223.75998797575,-29537.03419075409,-58686.72579722154,87988.11635473091,-29765.24186076767,-58222.87449396333,235.6436332448357,228.207670013584,-463.8513032582123
0.0007,-12.69506426513229,11.27549805558936,1.419566209542821,-1787.668366085734,-2560.11072101406,4347.77908710125,87651.59693323495,-26858.23628785138,-60793.36064538347,87428.62005994863,-27099.0166889615,-60329.60337098689,222.9768732863158,240.7804011101107,-463.757274396572
0.0008,-12.86753744994107,11.01396531610244,1.853572133838714,-1661.511594585197,-2670.113861535458,4331.625456123383,86992.93233462657,-24152.93254836676,-62839.99978625973,86782.8422861929,-24406.04806950452,-62376.79421668802,210.0900484336744,253.1155211377591,-463.2055695717063
0.0009,-13.02731192115791,10.74156311635,2.285748804807928,-1533.715017340538,-2777.482022720832,4311.197040060351,86248.41621458794,-21423.79278047576,-64824.62343411212,86051.42033396031,-21688.99363724898,-64362.42669671138,196.9958806276263,265.2008567732191,-462.1967374007436
