"time","resistor.i","resistor.v","inductor.i","inductor.v","voltageSource.i","voltageSource.v"
0,0.7754529999999999,3.877265,0.7754529999999999,6.122735,-0.7754529999999999,10
0.0001,0.8056782608153308,4.028391304076654,0.8056782608153308,5.966674299580663,-0.8056782608153308,9.995065603657316
0.0002,0.835107440840434,4.17553720420217,0.835107440840434,5.804730080080546,-0.835107440840434,9.980267284282716
0.0003,0.8637122773603805,4.318561386801902,0.8637122773603805,5.637058259228898,-0.8637122773603805,9.955619646030801
0.0004,0.8914662443591026,4.457331221795513,0.8914662443591026,5.463815791349266,-0.8914662443591026,9.921147013144779
0.0005,0.9183414302317697,4.591707151158849,0.9183414302317697,5.28517625479253,-0.9183414302317697,9.876883405951379
0.0006,0.9443101883842469,4.721550941921234,0.9443101883842469,5.101321565365653,-0.9443101883842469,9.822872507286887
0.0007,0.9693470339448251,4.846735169724125,0.9693470339448251,4.912432449663349,-0.9693470339448251,9.759167619387474
0.0008,0.9934273911586511,4.967136955793255,0.9934273911586511,4.718694655493056,-0.9934273911586511,9.685831611286311
0.0009,1.016527174527729,5.082635872638646,1.016527174527729,4.520300984130784,-1.016527174527729,9.60293685676943
0.001,1.038623784608253,5.193118923041263,1.038623784608253,4.317446239910272,-1.038623784608253,9.510565162951535
0.0011,1.059695629926739,5.298478149633697,1.059695629926739,4.110329539908557,-1.059695629926739,9.408807689542254
0.0012,1.07972165072833,5.398608253641653,1.07972165072833,3.899156605240861,-1.07972165072833,9.297764858882514
0.0013,1.0986822276878,5.493411138438999,1.0986822276878,3.684135118400812,-1.0986822276878,9.177546256839811
0.0014,1.116558511095779,5.582792555478894,1.116558511095779,3.465477969181303,-1.116558511095779,9.048270524660197
0.0015,1.133332551052063,5.666662755260314,1.133332551052063,3.243402486623364,-1.133332551052063,8.910065241883679
0.0016,1.148987769243906,5.74493884621953,1.148987769243906,3.018127954219106,-1.148987769243906,8.763066800438637
0.0017,1.16350901488247,5.817545074412349,1.16350901488247,2.789875195627088,-1.16350901488247,8.607420270039437
0.0018,1.176881828356023,5.884409141780113,1.176881828356023,2.558870113240038,-1.176881828356023,8.443279255020151
0.0019,1.189093207758007,5.945466038790038,1.189093207758007,2.325339703955581,-1.189093207758007,8.270805742745619
0.002,1.200131231764952,6.000656158824761,1.200131231764952,2.089513784924714,-1.200131231764952,8.090169943749475
0.0021,1.209984866752205,6.049924333761024,1.209984866752205,1.851625789995879,-1.209984866752205,7.901550123756903
0.0022,1.218644433754523,6.093222168772614,1.218644433754523,1.611910258985277,-1.218644433754523,7.705132427757891
0.0023,1.226101393449077,6.130506967245384,1.226101393449077,1.370603729059212,-1.226101393449077,7.501110696304596
0.0024,1.232348320457296,6.161741602286478,1.232348320457296,1.127944671927638,-1.232348320457296,7.289686274214116
0.0025,1.23737906809995,6.186895340499752,1.23737906809995,0.8841724713657237,-1.23737906809995,7.071067811865476
0.0026,1.241188704083701,6.205943520418505,1.241188704083701,0.6395275388683812,-1.241188704083701,6.845471059286886
0.0027,1.243773494408153,6.218867472040763,1.243773494408153,0.394251181195755,-1.243773494408153,6.613118653236518
0.0028,1.24513082814771,6.225654140738548,1.24513082814771,0.1485857567483491,-1.24513082814771,6.374239897486897
0.0029,1.245259338796527,6.226296693982634,1.245259338796527,-0.09722615745286767,-1.245259338796527,6.129070536529766
0.003,1.244158871250601,6.220794356253004,1.244158871250601,-0.3429418333282737,-1.244158871250601,5.87785252292473
0.0031,1.241830558678527,6.209152793392633,1.241830558678527,-0.5883190148713275,-1.241830558678527,5.620833778521305
0.0032,1.23827665265548,6.1913832632774,1.23827665265548,-0.8331153134874345,-1.23827665265548,5.358267949789965
0.0033,1.233500664854515,6.167503324272573,1.233500664854515,-1.077089166768861,-1.233500664854515,5.090414157503712
0.0034,1.227507350101135,6.137536750505673,1.227507350101135,-1.32000000948852,-1.227507350101135,4.817536741017153
0.0035,1.220302639168222,6.101513195841109,1.220302639168222,-1.561608198445641,-1.220302639168222,4.539904997395468
0.0036,1.211893634898908,6.059468174494541,1.211893634898908,-1.801675258843814,-1.211893634898908,4.257792915650727
0.0037,1.202288664728769,6.011443323643847,1.202288664728769,-2.039964417296041,-1.202288664728769,3.971478906347806
0.0038,1.191497274169242,5.957486370846208,1.191497274169242,-2.276240843999429,-1.191497274169242,3.681245526846779
0.0039,1.179529997466826,5.897649987334131,1.179529997466826,-2.510270784881216,-1.179529997466826,3.387379202452915
