time, delta, omega, eq_t, ed_t, vm, vr, vr2, vf, v_1(PSS), v_2 (PSS), v_3(PSS), theta_bus1, theta_bus3, V_Bus1, V_Bus3, vf_gen, pm, p, q, v_ref, v_s(PSS)
 0.00000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, 0.00000, 0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00200, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00300, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.00400, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00500, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.00600, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00700, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.00800, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.00900, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.01000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.01100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.01200, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.01300, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.01400, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.01500, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.01600, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.01700, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.01800, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.01900, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.02000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.02100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.02200, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.02300, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.02400, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.02500, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.02600, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.02700, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.02800, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.02900, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.03000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.03100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.03200, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.03300, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.03400, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.03500, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.03600, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.03700, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.03800, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.03900, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.04000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.04100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.04200, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.04300, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.04400, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.04500, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.04600, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.04700, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.04800, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.04900, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
 0.05000, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, 0.00000  
 0.05100, 0.90924, 1.00000, 0.94480, 0.40306, 1.05000, 0.51272, -0.15072, 1.50719, -15.00000, -0.00000, -0.00000, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822, 1.06115, -0.00000  
