time;ExpDiode_V;ExpDiode_I
0;0.62915;0.037085
0.0001;0.62912;0.037039
0.0002;0.62902;0.036901
0.0003;0.62886;0.036671
0.0004;0.62863;0.036349
0.0005;0.62833;0.035936
0.0006;0.62797;0.035432
0.0007;0.62753;0.034838
0.0008;0.62702;0.034156
0.0009;0.62643;0.033386
0.001;0.62576;0.03253
0.0011;0.625;0.031588
0.0012;0.62415;0.030563
0.0013;0.62319;0.029456
0.0014;0.62213;0.02827
0.0015;0.62095;0.027006
0.0016;0.61963;0.025667
0.0017;0.61817;0.024257
0.0018;0.61655;0.022778
0.0019;0.61473;0.021235
0.002;0.6127;0.019631
0.0021;0.61042;0.017973
0.0022;0.60784;0.016267
0.0023;0.60491;0.01452
0.0024;0.60153;0.012744
0.0025;0.59761;0.01095
0.0026;0.59299;0.0091561
0.0027;0.58744;0.0073875
0.0028;0.58064;0.0056788
0.0029;0.5721;0.0040811
0.003;0.56111;0.0026679
0.0031;0.54676;0.0015319
0.0032;0.52832;0.00075057
0.0033;0.50589;0.00031518
0.0034;0.48057;0.00011836
0.0035;0.45357;4.17E-05
0.0036;0.42564;1.41E-05
0.0037;0.3971;4.69E-06
0.0038;0.36811;1.53E-06
0.0039;0.33873;4.90E-07
0.004;0.30902;1.55E-07
0.0041;0.27899;4.86E-08
0.0042;0.24869;1.50E-08
0.0043;0.21814;4.62E-09
0.0044;0.18738;1.40E-09
0.0045;0.15643;4.23E-10
0.0046;0.12533;1.26E-10
0.0047;0.094108;3.71E-11
0.0048;0.062791;1.03E-11
0.0049;0.031411;2.37E-12
0.005;-6.81E-14;-8.54E-16
0.0051;-0.031411;-7.04E-13
0.0052;-0.062791;-9.12E-13
0.0053;-0.094108;-9.74E-13
0.0054;-0.12533;-9.92E-13
0.0055;-0.15643;-9.98E-13
0.0056;-0.18738;-9.99E-13
0.0057;-0.21814;-1.00E-12
0.0058;-0.24869;-1.00E-12
0.0059;-0.27899;-1.00E-12
0.006;-0.30902;-1.00E-12
0.0061;-0.33874;-1.00E-12
0.0062;-0.36812;-1.00E-12
0.0063;-0.39715;-1.00E-12
0.0064;-0.42578;-1.00E-12
