time, v_inv, v_c, i1, i2
0,0,0,0,0
1e-06,-0.074766,8.6481e-06,-6.2868e-05,-0.00031897
2e-06,-0.14132,6.8792e-05,-0.00024467,-0.0012754
3e-06,-0.19166,0.00023339,-0.00052511,-0.0028683
4e-06,-0.21821,0.00055794,-0.00087099,-0.0050965
5e-06,-0.21404,0.0011011,-0.001237,-0.0079583
6e-06,-0.17302,0.0019267,-0.0015673,-0.011452
7e-06,-0.090013,0.0031051,-0.0017964,-0.015574
8e-06,0.038988,0.0047126,-0.0018516,-0.020322
9e-06,0.21673,0.0068332,-0.0016543,-0.025693
1e-05,0.4446,0.009559,-0.0011232,-0.031683
1.1e-05,0.72259,0.012988,-0.00017499,-0.038286
1.2e-05,1.0492,0.017226,0.0012709,-0.045498
1.3e-05,1.4216,0.022388,0.0032916,-0.053313
1.4e-05,1.8354,0.028596,0.0059582,-0.061723
1.5e-05,2.2849,0.035975,0.0093332,-0.070721
1.6e-05,2.7633,0.044658,0.013468,-0.080298
1.7e-05,3.2625,0.054778,0.018402,-0.090446
1.8e-05,3.7736,0.066476,0.024161,-0.10115
1.9e-05,4.2868,0.079892,0.030752,-0.11241
2e-05,4.7918,0.095163,0.038168,-0.1242
2.1e-05,5.278,0.11242,0.046382,-0.13652
2.2e-05,5.7347,0.1318,0.055352,-0.14935
2.3e-05,6.1511,0.15342,0.065016,-0.16267
2.4e-05,6.5171,0.17739,0.075292,-0.17647
2.5e-05,6.823,0.20382,0.086087,-0.19074
2.6e-05,7.0601,0.2328,0.097287,-0.20546
2.7e-05,7.2207,0.2644,0.10877,-0.2206
2.8e-05,7.2985,0.2987,0.12039,-0.23616
2.9e-05,7.2885,0.33574,0.13201,-0.25212
3e-05,7.1875,0.37554,0.14347,-0.26845
3.1e-05,6.994,0.41814,0.15462,-0.28513
3.2e-05,6.7083,0.46351,0.16529,-0.30216
3.3e-05,6.3328,0.51163,0.17534,-0.31951
3.4e-05,5.8717,0.56248,0.1846,-0.33716
3.5e-05,5.3312,0.61598,0.19293,-0.3551
3.6e-05,4.7194,0.67207,0.20022,-0.3733
3.7e-05,4.046,0.73066,0.20633,-0.39176
3.8e-05,3.3225,0.79166,0.21117,-0.41046
3.9e-05,2.562,0.85495,0.21467,-0.42937
4e-05,1.7786,0.92043,0.21677,-0.44849
4.1e-05,0.9877,0.98797,0.21745,-0.4678
4.2e-05,0.20525,1.0574,0.2167,-0.48729
4.3e-05,-0.55219,1.1287,0.21455,-0.50694
4.4e-05,-1.2679,1.2017,0.21105,-0.52675
4.5e-05,-1.9252,1.2763,0.20628,-0.5467
4.6e-05,-2.5081,1.3523,0.20035,-0.56678
4.7e-05,-3.0011,1.4297,0.19339,-0.58699
4.8e-05,-3.3899,1.5083,0.18557,-0.60731
4.9e-05,-3.6617,1.5882,0.17707,-0.62774
5e-05,-3.8051,1.6693,0.16808,-0.64827
5.1e-05,-3.811,1.7515,0.15884,-0.66889
5.2e-05,-3.6721,1.8348,0.14957,-0.6896
5.3e-05,-3.3837,1.9193,0.14051,-0.71038
5.4e-05,-2.9437,2.005,0.13193,-0.73123
5.5e-05,-2.3524,2.092,0.12406,-0.75214
5.6e-05,-1.6129,2.1803,0.11715,-0.77311
5.7e-05,-0.7312,2.2701,0.11145,-0.79411
5.8e-05,0.28417,2.3615,0.10719,-0.81515
5.9e-05,1.422,2.4546,0.10457,-0.83621
6e-05,2.6684,2.5497,0.10378,-0.85728
6.1e-05,4.0075,2.6469,0.10498,-0.87835
6.2e-05,5.4209,2.7464,0.10832,-0.8994
