time,v1,v2,v3,i1,i2,i3
0,4.7234e-12,-31.428,31.428,2.4601e-12,-16.369,16.369
0.00017321,0.043103,-120,119.96,0.02245,-62.5,62.477
0.00034642,1.1599,-537.02,535.86,0.60411,-279.7,279.1
0.00051963,4.9645,-1080,1075.1,2.5857,-562.52,559.93
0.00069284,13.061,-1718.2,1705.2,6.8028,-894.91,888.1
0.00086605,24.839,-2332.6,2307.8,12.937,-1214.9,1202
0.0010393,45.265,-3091.3,3046,23.576,-1610,1586.5
0.0012125,71.343,-3813.9,3742.6,37.158,-1986.4,1949.3
0.0013857,109.94,-4639.6,4529.6,57.258,-2416.4,2359.2
0.0015589,155.95,-5418.7,5262.7,81.225,-2822.2,2741
0.0017321,208.99,-6154.1,5945.1,108.85,-3205.2,3096.4
0.0019053,283.77,-7007.3,6723.5,147.8,-3649.6,3501.8
0.0020785,368.02,-7802.4,7434.4,191.68,-4063.8,3872.1
0.0022517,461.1,-8543.7,8082.6,240.15,-4449.8,4209.7
0.0024249,562.37,-9235.1,8672.7,292.9,-4810,4517.1
0.0025982,700.68,-10040,9339.7,364.94,-5229.4,4864.4
0.0027714,849.99,-10779,9929.2,442.7,-5614.1,5171.4
0.0029446,1009.3,-11457,10448,525.69,-5967.4,5441.7
0.0031178,1177.7,-12081,10903,613.4,-6292,5678.6
0.003291,1397.3,-12783,11385,727.77,-6657.7,5929.9
0.0034642,1628,-13416,11788,847.92,-6987.8,6139.8
0.0036374,1868.5,-13989,12121,973.16,-7286.1,6312.9
0.0038106,2117.5,-14508,12390,1102.9,-7556.1,6453.2
0.0039838,2436.7,-15084,12647,1269.1,-7856,6586.9
0.004157,2765.5,-15594,12829,1440.3,-8121.9,6681.5
0.0043303,3102.2,-16047,12945,1615.7,-8357.8,6742.1
0.0045035,3445.6,-16450,13004,1794.6,-8567.5,6773
0.0046767,3887.9,-16897,13009,2024.9,-8800.5,6775.5
0.0048499,4336.4,-17283,12947,2258.6,-9001.6,6743
0.0050231,4789.3,-17617,12827,2494.4,-9175.3,6680.9
0.0051963,5351.6,-17966,12615,2787.3,-9357.4,6570.1
0.0053695,5915.4,-18257,12341,3081,-9508.7,6427.7
0.0055427,6478.5,-18496,12018,3374.2,-9633.6,6259.3
0.0057159,7199.6,-18741,11541,3749.8,-9760.9,6011.1
0.0058891,7913.3,-18923,11010,4121.5,-9855.7,5734.1
0.0060624,8782.4,-19073,10291,4574.2,-9933.8,5359.7
0.0062356,9632.2,-19150,9517.7,5016.8,-9973.9,4957.1
0.0064088,10705,-19153,8447.6,5575.5,-9975.3,4399.8
0.006582,11733,-19055,7321.7,6111,-9924.4,3813.4
0.0067552,12711,-18864,6152.5,6620.4,-9824.9,3204.4
0.0069284,13635,-18585,4949.9,7101.4,-9679.4,2578.1
0.0071016,14499,-18221,3721.8,7551.7,-9490.1,1938.4
0.0072748,15301,-17776,2475.2,7969.3,-9258.5,1289.2
0.007448,16037,-17253,1216.5,8352.5,-8986.1,633.58
0.0076212,16703,-16655,-48.324,8699.5,-8674.3,-25.169
0.0077945,17297,-15984,-1313.4,9008.9,-8324.8,-684.05
0.0079677,17816,-15243,-2573,9279.3,-7939.2,-1340.1
0.0081409,18258,-14437,-3821.7,9509.6,-7519.1,-1990.5
0.0083141,18621,-13568,-5053.9,9698.7,-7066.5,-2632.2
0.0084873,18904,-12640,-6264.3,9845.9,-6583.2,-3262.6
0.0086605,19105,-11657,-7447.6,9950.5,-6071.5,-3879
0.0088337,19223,-10624,-8598.7,10012,-5533.6,-4478.5
0.0090069,19258,-9545.6,-9712.6,10030,-4971.7,-5058.7
0.0091801,19210,-8425.5,-10785,10005,-4388.3,-5616.9
0.0093533,19079,-7269,-11810,9936.9,-3785.9,-6150.9
0.0095266,18865,-6081.1,-12784,9825.5,-3167.2,-6658.3
0.0096998,18570,-4866.8,-13703,9671.7,-2534.8,-7136.9
0.009873,18194,-3631.6,-14562,9476,-1891.5,-7584.6
0.010046,17740,-2380.7,-15359,9239.4,-1239.9,-7999.5
0.010219,17209,-1119.5,-16089,8962.8,-583.05,-8379.8
0.010393,16603,146.58,-16750,8647.5,76.343,-8723.8
0.010566,15926,1412,-17338,8294.7,735.4,-9030.1
0.010739,15180,2671.2,-17851,7906.1,1391.3,-9297.4
0.010912,14368,3918.9,-18287,7483.3,2041.1,-9524.4
0.011085,13494,5149.6,-18644,7028.1,2682.1,-9710.2
0.011259,12562,6358.1,-18920,6542.6,3311.5,-9854.1
0.011432,11575,7539,-19114,6028.8,3926.6,-9955.3
0.011605,10539,8687.3,-19226,5488.9,4524.6,-10013
0.011778,9456.4,9798,-19254,4925.2,5103.1,-10028
0.011952,8333.3,10866,-19200,4340.3,5659.5,-9999.8
0.012125,7174.2,11888,-19062,3736.6,6191.5,-9928
0.012298,5984.1,12857,-18842,3116.7,6696.6,-9813.3
0.012471,4768.1,13772,-18540,2483.4,7172.8,-9656.2
0.012644,3531.5,14626,-18158,1839.3,7617.9,-9457.2
0.012818,2279.6,15418,-17697,1187.3,8030.1,-9217.4
0.012991,1017.9,16143,-17160,530.13,8407.6,-8937.7
0.013164,-248.26,16797,-16549,-129.3,8748.6,-8619.3
0.013337,-1513.3,17380,-15866,-788.18,9051.9,-8263.7
0.01351,-2771.8,17887,-15115,-1443.6,9316,-7872.3
0.013684,-4018.3,18316,-14298,-2092.8,9539.7,-7446.9
0.013857,-5247.3,18667,-13419,-2733,9722.2,-6989.3
0.01403,-6453.7,18936,-12483,-3361.3,9862.7,-6501.4
0.014203,-7632.2,19124,-11492,-3975.1,9960.5,-5985.4
0.014376,-8777.6,19229,-10452,-4571.7,10015,-5443.5
0.01455,-9885,19251,-9365.9,-5148.5,10027,-4878.1
0.014723,-10950,19190,-8239.8,-5703,9994.5,-4291.6
0.014896,-11967,19045,-7078,-6232.8,9919.3,-3686.5
0.015069,-12933,18818,-5885.7,-6735.7,9801.2,-3065.5
0.015242,-13842,18510,-4667.8,-7209.4,9640.6,-2431.2
0.015416,-14692,18122,-3429.8,-7652,9438.4,-1786.4
0.015589,-15478,17655,-2177,-8061.4,9195.3,-1133.8
0.015762,-16197,17112,-914.71,-8436,8912.4,-476.41
0.015935,-16846,16495,351.51,-8774.1,8591,183.08
