time,v1,v2,v3,i1,i2,i3
0,-1.8112e-11,-16971,16971,-9.4332e-12,-8838.8,8838.8
5e-05,370.03,-17153,16783,192.73,-8933.9,8741.2
0.0001,739.85,-17329,16589,385.34,-9025.7,8640.4
0.00015,1109.3,-17499,16390,577.78,-9114.3,8536.5
0.0002,1478.4,-17663,16185,769.99,-9199.5,8429.5
0.00025,1846.8,-17820,15974,961.89,-9281.5,8319.6
0.0003,2214.6,-17971,15757,1153.4,-9360.1,8206.7
0.00035,2581.5,-18116,15534,1344.5,-9435.4,8090.9
0.0004,2947.5,-18254,15306,1535.2,-9507.3,7972.1
0.00045,3312.4,-18385,15073,1725.2,-9575.8,7850.6
0.0005,3676.1,-18510,14834,1914.6,-9640.9,7726.2
0.00055,4038.5,-18629,14590,2103.4,-9702.5,7599.1
0.0006,4399.4,-18740,14341,2291.4,-9760.7,7469.3
0.00065,4758.7,-18845,14087,2478.5,-9815.4,7336.9
0.0007,5116.4,-18944,13827,2664.8,-9866.6,7201.8
0.00075,5472.2,-19035,13563,2850.1,-9914.3,7064.2
0.0008,5826,-19120,13294,3034.4,-9958.4,6924
0.00085,6177.8,-19198,13020,3217.6,-9999,6781.4
0.0009,6527.4,-19269,12742,3399.7,-10036,6636.4
0.00095,6874.6,-19333,12459,3580.5,-10070,6489
0.001,7219.4,-19391,12171,3760.1,-10099,6339.3
0.00105,7561.6,-19441,11880,3938.4,-10126,6187.4
0.0011,7901.2,-19485,11584,4115.2,-10148,6033.2
0.00115,8237.9,-19522,11284,4290.6,-10168,5876.9
0.0012,8571.7,-19551,10980,4464.4,-10183,5718.6
0.00125,8902.4,-19574,10672,4636.7,-10195,5558.2
0.0013,9230,-19590,10360,4807.3,-10203,5395.8
0.00135,9554.3,-19599,10044,4976.2,-10208,5231.5
0.0014,9875.2,-19601,9725.4,5143.3,-10209,5065.3
0.00145,10193,-19595,9402.9,5308.6,-10206,4897.3
0.0015,10506,-19583,9077.1,5472.1,-10200,4727.6
0.00155,10816,-19564,8748,5633.5,-10190,4556.3
0.0016,11123,-19538,8415.9,5793,-10176,4383.3
0.00165,11425,-19505,8080.7,5950.4,-10159,4208.7
0.0017,11723,-19466,7742.7,6105.7,-10138,4032.7
0.00175,12017,-19419,7401.9,6258.8,-10114,3855.2
0.0018,12307,-19365,7058.5,6409.8,-10086,3676.3
0.00185,12592,-19305,6712.6,6558.4,-10055,3496.1
0.0019,12873,-19237,6364.3,6704.7,-10019,3314.7
0.00195,13149,-19163,6013.7,6848.6,-9980.8,3132.2
0.002,13421,-19082,5661,6990.1,-9938.5,2948.5
0.00205,13688,-18994,5306.3,7129.1,-9892.8,2763.7
0.0021,13950,-18900,4949.8,7265.5,-9843.5,2578
0.00215,14207,-18798,4591.4,7399.4,-9790.8,2391.4
0.0022,14459,-18690,4231.4,7530.7,-9734.5,2203.9
0.00225,14706,-18576,3869.9,7659.2,-9674.8,2015.6
0.0023,14947,-18454,3507.1,7785.1,-9611.7,1826.6
0.00235,15184,-18327,3143,7908.2,-9545.2,1637
0.0024,15415,-18192,2777.7,8028.5,-9475.2,1446.7
0.00245,15640,-18052,2411.5,8145.9,-9401.9,1256
0.0025,15860,-17904,2044.5,8260.4,-9325.3,1064.8
0.00255,16074,-17751,1676.7,8372,-9245.3,873.27
0.0026,16283,-17591,1308.3,8480.7,-9162.1,681.4
0.00265,16486,-17425,939.44,8586.3,-9075.6,489.29
0.0027,16683,-17253,570.25,8688.8,-8985.8,297.01
0.00275,16874,-17074,200.86,8788.3,-8892.9,104.62
0.0028,17059,-16890,-168.6,8884.7,-8796.9,-87.813
0.00285,17237,-16699,-538,8977.9,-8697.6,-280.21
0.0029,17410,-16503,-907.21,9067.9,-8595.4,-472.51
0.00295,17577,-16301,-1276.1,9154.6,-8490,-664.64
0.003,17737,-16093,-1644.5,9238.2,-8381.6,-856.53
0.00305,17891,-15879,-2012.4,9318.4,-8270.3,-1048.1
0.0031,18039,-15660,-2379.5,9395.4,-8156,-1239.3
0.00315,18180,-15435,-2745.8,9469,-8038.9,-1430.1
0.0032,18315,-15204,-3111.1,9539.2,-7918.8,-1620.4
0.00325,18444,-14968,-3475.3,9606,-7796,-1810.1
0.0033,18565,-14727,-3838.3,9669.5,-7670.4,-1999.1
0.00335,18681,-14481,-4199.9,9729.5,-7542,-2187.5
0.0034,18789,-14229,-4560,9786,-7411,-2375
0.00345,18891,-13972,-4918.5,9839.1,-7277.3,-2561.7
0.0035,18986,-13711,-5275.3,9888.6,-7141.1,-2747.5
0.00355,19075,-13444,-5630.2,9934.7,-7002.3,-2932.4
0.0036,19156,-13173,-5983,9977.2,-6861.1,-3116.2
0.00365,19231,-12897,-6333.8,10016,-6717.4,-3298.9
0.0037,19299,-12617,-6682.3,10052,-6571.3,-3480.4
0.00375,19360,-12332,-7028.4,10083,-6422.8,-3660.6
0.0038,19415,-12042,-7372,10112,-6272.1,-3839.6
0.00385,19462,-11749,-7713.1,10136,-6119.2,-4017.2
0.0039,19502,-11451,-8051.3,10157,-5964.1,-4193.4
0.00395,19536,-11149,-8386.7,10175,-5806.9,-4368.1
0.004,19562,-10843,-8719.2,10189,-5647.6,-4541.2
0.00405,19582,-10534,-9048.5,10199,-5486.3,-4712.8
0.0041,19595,-10220,-9374.6,10206,-5323,-4882.6
0.00415,19601,-9903.1,-9697.4,10209,-5157.9,-5050.7
0.0042,19599,-9582.6,-10017,10208,-4990.9,-5217.1
0.00425,19591,-9258.6,-10333,10204,-4822.2,-5381.5
0.0043,19576,-8931.3,-10645,10196,-4651.7,-5544.1
0.00435,19554,-8600.8,-10953,10184,-4479.6,-5704.7
0.0044,19525,-8267.3,-11257,10169,-4305.9,-5863.2
0.00445,19489,-7930.9,-11558,10150,-4130.7,-6019.7
0.0045,19446,-7591.6,-11854,10128,-3954,-6174
0.00455,19396,-7249.7,-12146,10102,-3775.9,-6326.2
0.0046,19339,-6905.1,-12434,10073,-3596.4,-6476.1
0.00465,19276,-6558.1,-12717,10039,-3415.7,-6623.7
0.0047,19205,-6208.8,-12996,10003,-3233.8,-6768.9
0.00475,19128,-5857.3,-13271,9962.5,-3050.7,-6911.8
0.0048,19044,-5503.7,-13540,9918.7,-2866.5,-7052.2
0.00485,18953,-5148.1,-13805,9871.4,-2681.3,-7190
0.0049,18855,-4790.8,-14065,9820.5,-2495.2,-7325.4
0.00495,18751,-4431.7,-14319,9766.2,-2308.2,-7458.1
0.005,18640,-4071,-14569,9708.5,-2120.3,-7588.1
0.00505,18523,-3708.9,-14814,9647.2,-1931.7,-7715.5
0.0051,18399,-3345.5,-15053,9582.6,-1742.4,-7840.2
0.00515,18268,-2980.8,-15287,9514.5,-1552.5,-7962
0.0052,18131,-2615.2,-15516,9443.1,-1362.1,-8081
0.00525,17987,-2248.6,-15739,9368.3,-1171.1,-8197.2
0.0053,17837,-1881.1,-15956,9290.2,-979.77,-8310.4
0.00535,17681,-1513.1,-16168,9208.7,-788.06,-8420.7
0.0054,17518,-1144.5,-16374,9124.1,-596.08,-8528
0.00545,17349,-775.44,-16574,9036.1,-403.88,-8632.2
0.0055,17174,-406.15,-16768,8945,-211.54,-8733.4
0.00555,16993,-36.712,-16956,8850.6,-19.121,-8831.5
0.0056,16806,332.74,-17139,8753.2,173.3,-8926.5
0.00565,16613,702.07,-17315,8652.6,365.66,-9018.3
0.0057,16414,1071.2,-17485,8548.9,557.89,-9106.8
0.00575,16209,1439.9,-17649,8442.2,749.93,-9192.2
0.0058,15998,1808,-17807,8332.6,941.69,-9274.3
0.00585,15782,2175.6,-17958,8219.9,1133.1,-9353
0.0059,15560,2542.4,-18103,8104.3,1324.2,-9428.5
0.00595,15333,2908.2,-18241,7985.9,1514.7,-9500.6
0.006,15100,3273.1,-18373,7864.6,1704.7,-9569.3
0.00605,14862,3636.8,-18499,7740.5,1894.2,-9634.7
0.0061,14618,3999.1,-18617,7613.7,2082.9,-9696.6
0.00615,14370,4360.1,-18730,7484.1,2270.9,-9755
0.0062,14116,4719.5,-18835,7351.9,2458.1,-9810
0.00625,13857,5077.3,-18934,7217.1,2644.4,-9861.5
0.0063,13593,5433.2,-19026,7079.8,2829.8,-9909.6
0.00635,13325,5787.2,-19112,6939.9,3014.2,-9954
